name,date
OA976663.1|ERR4641513|2020-06-14|UnitedKingdom_England|B.1.1|Homosapiens||29903|,2020-06-14
OA976677.1|ERR4641559|2020-06-14|UnitedKingdom_England|B.1.1.1|Homosapiens||29894|,2020-06-14
OA976890.1|ERR4640467|2020-06-15|UnitedKingdom_England|C.27|Homosapiens||29903|,2020-06-15
OA977345.1|ERR4640673|2020-06-17|UnitedKingdom_England|B.1.1.301|Homosapiens||29903|,2020-06-17
OA978105.1|ERR4639632|2020-06-17|UnitedKingdom_England|B.1.1.4|Homosapiens||29903|,2020-06-17
OA980561.1|ERR4633143|2020-06-17|UnitedKingdom_England|B.1.1.67|Homosapiens||29903|,2020-06-17
OA980624.1|ERR4633631|2020-06-19|UnitedKingdom_England|B.1.1.300|Homosapiens||29903|,2020-06-19
OA977024.1|ERR4640333|2020-06-20|UnitedKingdom_England|B.1.1.253|Homosapiens||29903|,2020-06-20
OA979808.1|ERR4637060|2020-07-01|UnitedKingdom_England|B.1.1|Homosapiens||29903|,2020-07-01
OA973791.1|ERR4645575|2020-07-02|UnitedKingdom_England|B.1.1.369|Homosapiens||29903|,2020-07-02
OA970263.1|ERR4584371|2020-07-15|UnitedKingdom_England|B.1.1.303|Homosapiens||29903|,2020-07-15
OA970109.1|ERR4584814|2020-07-24|UnitedKingdom_England|B.1.1.44|Homosapiens||29903|,2020-07-24
OA968676.1|ERR4597906|2020-08-10|UnitedKingdom_NorthernIreland|B.1.1.51|Homosapiens||29903|,2020-08-10
OA968947.1|ERR4597698|2020-08-10|UnitedKingdom_NorthernIreland|B.1.1|Homosapiens||29903|,2020-08-10
OA968332.1|ERR4598849|2020-08-15|UnitedKingdom_Scotland|AD.2|Homosapiens||29903|,2020-08-15
OA975194.1|ERR4643065|2020-08-17|UnitedKingdom_England|B.1.1|Homosapiens||29903|,2020-08-17
OA975178.1|ERR4643184|2020-08-18|UnitedKingdom_England|B.1.221|Homosapiens||29903|,2020-08-18
OA974350.1|ERR4644945|2020-08-26|UnitedKingdom_England|B.1.1.37|Homosapiens||29903|,2020-08-26
OA994427.1|ERR4686528|2020-08-28|UnitedKingdom_England|B.1.1.165|Homosapiens||29903|,2020-08-28
OA994470.1|ERR4686760|2020-08-28|UnitedKingdom_England|AD.2|Homosapiens||29903|,2020-08-28
OA970924.1|ERR4599609|2020-08-30|UnitedKingdom_Scotland|B.1.177|Homosapiens||29903|,2020-08-30
OA972510.1|ERR4647168|2020-09-02|UnitedKingdom_England|B.1.1.227|Homosapiens||29903|,2020-09-02
OA994530.1|ERR4686632|2020-09-03|UnitedKingdom_England|B.1.36.17|Homosapiens||29903|,2020-09-03
OA984710.1|ERR4667806|2020-09-07|UnitedKingdom_Scotland|B.1.1.44|Homosapiens||29903|,2020-09-07
OA971990.1|ERR4651160|2020-09-07|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-09-07
OA982146.1|ERR4652052|2020-09-09|UnitedKingdom_Wales|B.1.177|Homosapiens||29903|,2020-09-09
OA982708.1|ERR4652877|2020-09-11|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-09-11
OA999905.1|ERR4763252|2020-09-15|UnitedKingdom_England|B.1.1.37|Homosapiens||29903|,2020-09-15
OA984209.1|ERR4668406|2020-09-16|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-09-16
OA984401.1|ERR4668440|2020-09-16|UnitedKingdom_England|B.1.1.266|Homosapiens||29903|,2020-09-16
OA999486.1|ERR4659368|2020-09-19|UnitedKingdom_Wales|B.1.177|Homosapiens||29903|,2020-09-19
OA985090.1|ERR4669218|2020-09-23|UnitedKingdom_England|B.1.177.10|Homosapiens||29903|,2020-09-23
OA990292.1|ERR4668990|2020-09-24|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-09-24
OA992716.1|ERR4688435|2020-09-25|UnitedKingdom_England|B.1.1.311|Homosapiens||29854|,2020-09-25
OA992824.1|ERR4688535|2020-09-25|UnitedKingdom_England|B.1.367|Homosapiens||29903|,2020-09-25
OA998662.1|ERR4706873|2020-09-27|UnitedKingdom_Scotland|B.1.177|Homosapiens||29903|,2020-09-27
OA991590.1|ERR4699831|2020-10-06|UnitedKingdom_England|B.1.1|Homosapiens||29903|,2020-10-06
OA996529.1|ERR4763502|2020-10-06|UnitedKingdom_England|B.1.258.6|Homosapiens||29897|,2020-10-06
OB986257.1|ERR4792808|2020-10-10|UnitedKingdom_England|B.1.1.37|Homosapiens||29903|,2020-10-10
OA995683.1|ERR4763917|2020-10-12|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-10-12
OB984143.1|ERR4788047|2020-10-15|UnitedKingdom_England|B.1.177.57|Homosapiens||29903|,2020-10-15
OB986464.1|ERR4793403|2020-10-19|UnitedKingdom_England|B.1.36.17|Homosapiens||29903|,2020-10-19
OB987909.1|ERR4826433|2020-10-21|UnitedKingdom_England|B.1.36.17|Homosapiens||29903|,2020-10-21
OB988992.1|ERR4825023|2020-10-21|UnitedKingdom_England|B.1.177.87|Homosapiens||29903|,2020-10-21
OB987240.1|ERR4827255|2020-10-22|UnitedKingdom_England|B.1.36.28|Homosapiens||29903|,2020-10-22
OB988423.1|ERR4824581|2020-10-22|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-10-22
OB988584.1|ERR4824816|2020-10-22|UnitedKingdom_England|B.1.177.57|Homosapiens||29903|,2020-10-22
OB988980.1|ERR4824949|2020-10-22|UnitedKingdom_England|B.1.177.87|Homosapiens||29903|,2020-10-22
OB989071.1|ERR4835054|2020-10-27|UnitedKingdom_England|AD.2|Homosapiens||29903|,2020-10-27
OB992237.1|ERR4848811|2020-10-29|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-10-29
OB993691.1|ERR4861339|2020-11-01|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-11-01
OC999037.1|ERR4893972|2020-11-02|UnitedKingdom_England|B.1.160|Homosapiens||29903|,2020-11-02
OB991826.1|ERR4849464|2020-11-02|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-11-02
OB994936.1|ERR4860936|2020-11-03|UnitedKingdom_England|AD.2|Homosapiens||29903|,2020-11-03
OC996460.1|ERR4874858|2020-11-05|UnitedKingdom_England|B.1.1.37|Homosapiens||29888|,2020-11-05
OC996718.1|ERR4874605|2020-11-05|UnitedKingdom_England|B.1.1.198|Homosapiens||29903|,2020-11-05
OB997673.1|ERR4878261|2020-11-07|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2020-11-07
OD921576.1|ERR5057371|2020-11-10|UnitedKingdom_England|C.30|Homosapiens||29903|,2020-11-10
OC997932.1|ERR4905630|2020-11-11|UnitedKingdom_England|B.1.177.57|Homosapiens||29903|,2020-11-11
OC999902.1|ERR4906265|2020-11-13|UnitedKingdom_England|B.1.389|Homosapiens||29903|,2020-11-13
OD907704.1|ERR5021500|2020-11-18|UnitedKingdom_England|B.1.160|Homosapiens||29903|,2020-11-18
OD903270.1|ERR4989718|2020-11-20|UnitedKingdom_England|B.1.1|Homosapiens||29903|,2020-11-20
OD949470.1|ERR5240413|2020-11-22|UnitedKingdom_England|B.1.177.8|Homosapiens||29903|,2020-11-22
OD908359.1|ERR5020396|2020-12-02|UnitedKingdom_England|B.1.177.7|Homosapiens||29900|,2020-12-02
OD906748.1|ERR5027044|2020-12-10|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2020-12-10
OD910016.1|ERR5025790|2020-12-10|UnitedKingdom_England|B.1.177.6|Homosapiens||29903|,2020-12-10
OD917491.1|ERR5052912|2020-12-11|UnitedKingdom_England|B.1.177.65|Homosapiens||29903|,2020-12-11
OD917539.1|ERR5052951|2020-12-12|UnitedKingdom_England|B.1.36.17|Homosapiens||29903|,2020-12-12
OD919048.1|ERR5054027|2020-12-13|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2020-12-13
OD915436.1|ERR5041080|2020-12-16|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2020-12-16
OD915003.1|ERR5040813|2020-12-18|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2020-12-18
OD920061.1|ERR5058153|2020-12-21|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2020-12-21
OD921717.1|ERR5177079|2020-12-30|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2020-12-30
OD927375.1|ERR5181042|2021-01-02|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-01-02
OD934176.1|ERR5187190|2021-01-08|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-01-08
OD944665.1|ERR5196271|2021-01-10|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-01-10
OD978866.1|ERR5304264|2021-01-12|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-01-12
OD937535.1|ERR5188799|2021-01-12|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2021-01-12
OD939943.1|ERR5189526|2021-01-13|UnitedKingdom_England|B.1.177|Homosapiens||29903|,2021-01-13
OD975295.1|ERR5307708|2021-01-25|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-01-25
OD965297.1|ERR5277731|2021-01-28|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-01-28
OD990557.1|ERR5334211|2021-01-29|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-01-29
OD971000.1|ERR5314268|2021-02-02|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-02-02
OD969612.1|ERR5293387|2021-02-03|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-02-03
OD979698.1|ERR5316846|2021-02-09|UnitedKingdom_England|B.1.1.7|Homosapiens||29877|,2021-02-09
OU012713.1|ERR5379217|2021-02-11|UnitedKingdom_NorthernIreland|B.1.1.7|Homosapiens||29884|,2021-02-11
OD988875.1|ERR5339175|2021-02-11|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-02-11
OD988758.1|ERR5339018|2021-02-13|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-02-13
OD990804.1|ERR5349715|2021-02-13|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-02-13
OD994023.1|ERR5353067|2021-02-13|UnitedKingdom_England|B.1.1.7|Homosapiens||29884|,2021-02-13
